Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday,Weekly_Sales
0.0,48.27,2.9760000000000004,0.0,0.0,0.0,0.0,0.0,211.40474190000003,7.742000000000001,0.0,15984.24
1.0,35.4,2.983,0.0,0.0,0.0,0.0,0.0,211.4574109,7.742000000000001,0.0,17359.7
2.0,44.04,3.016,0.0,0.0,0.0,0.0,0.0,211.82723430000004,7.742000000000001,0.0,17341.47
3.0,43.83,3.01,0.0,0.0,0.0,0.0,0.0,212.19705770000002,7.742000000000001,0.0,18461.18
4.0,42.27,2.989,0.0,0.0,0.0,0.0,0.0,212.56688119999998,7.742000000000001,0.0,21665.76
5.0,36.39,3.022,0.0,0.0,0.0,0.0,0.0,212.9367046,7.742000000000001,1.0,37887.17
6.0,57.36,3.045,0.0,0.0,0.0,0.0,0.0,213.2478853,7.742000000000001,0.0,46845.87
7.0,62.9,3.065,0.0,0.0,0.0,0.0,0.0,213.535609,7.742000000000001,0.0,19363.83
8.0,59.58,3.2880000000000003,0.0,0.0,0.0,0.0,0.0,213.8233327,7.742000000000001,0.0,20327.61
9.0,53.56,3.4589999999999996,0.0,0.0,0.0,0.0,0.0,214.11105640000002,7.742000000000001,0.0,21280.4
10.0,62.76,3.488,0.0,0.0,0.0,0.0,0.0,214.3627114,7.742000000000001,0.0,20334.23
11.0,69.97,3.4730000000000003,0.0,0.0,0.0,0.0,0.0,214.59993889999998,7.742000000000001,0.0,20881.1
12.0,59.17,3.5239999999999996,0.0,0.0,0.0,0.0,0.0,214.8371664,7.682,0.0,20398.09
13.0,67.84,3.622,0.0,0.0,0.0,0.0,0.0,215.07439390000002,7.682,0.0,23873.79
14.0,71.27,3.7430000000000003,0.0,0.0,0.0,0.0,0.0,215.29185609999996,7.682,0.0,28762.37
15.0,72.99,3.807,0.0,0.0,0.0,0.0,0.0,215.45990530000003,7.682,0.0,50510.31
16.0,72.03,3.81,0.0,0.0,0.0,0.0,0.0,215.62795440000002,7.682,0.0,41512.39
17.0,64.61,3.906,0.0,0.0,0.0,0.0,0.0,215.7960035,7.682,0.0,20138.19
18.0,75.64,3.8989999999999996,0.0,0.0,0.0,0.0,0.0,215.9640526,7.682,0.0,17235.15
19.0,67.63,3.907,0.0,0.0,0.0,0.0,0.0,215.7339202,7.682,0.0,15136.78
20.0,77.72,3.786,0.0,0.0,0.0,0.0,0.0,215.5037878,7.682,0.0,15741.6
21.0,83.0,3.699,0.0,0.0,0.0,0.0,0.0,215.27365530000003,7.682,0.0,16434.15
22.0,83.13,3.648,0.0,0.0,0.0,0.0,0.0,215.04352290000003,7.682,0.0,15883.52
23.0,86.41,3.637,0.0,0.0,0.0,0.0,0.0,214.99805959999998,7.682,0.0,14978.09
24.0,83.58,3.594,0.0,0.0,0.0,0.0,0.0,215.09109819999998,7.682,0.0,15682.81
25.0,85.55,3.5239999999999996,0.0,0.0,0.0,0.0,0.0,215.18413680000003,7.962000000000001,0.0,15363.5
26.0,85.83,3.48,0.0,0.0,0.0,0.0,0.0,215.27717540000003,7.962000000000001,0.0,16148.87
27.0,88.54,3.575,0.0,0.0,0.0,0.0,0.0,215.3611087,7.962000000000001,0.0,15654.85
28.0,85.77,3.6510000000000002,0.0,0.0,0.0,0.0,0.0,215.4222784,7.962000000000001,0.0,15766.6
29.0,86.83,3.682,0.0,0.0,0.0,0.0,0.0,215.4834482,7.962000000000001,0.0,15922.41
30.0,91.65,3.6839999999999997,0.0,0.0,0.0,0.0,0.0,215.544618,7.962000000000001,0.0,15295.55
31.0,90.76,3.638,0.0,0.0,0.0,0.0,0.0,215.6057878,7.962000000000001,0.0,14539.79
32.0,89.94,3.554,0.0,0.0,0.0,0.0,0.0,215.66931069999998,7.962000000000001,0.0,14689.24
33.0,87.96,3.523,0.0,0.0,0.0,0.0,0.0,215.73322579999999,7.962000000000001,0.0,14537.37
34.0,87.83,3.533,0.0,0.0,0.0,0.0,0.0,215.7971409,7.962000000000001,0.0,15277.27
35.0,76.0,3.5460000000000003,0.0,0.0,0.0,0.0,0.0,215.86105600000002,7.962000000000001,1.0,17746.68
36.0,79.94,3.5260000000000002,0.0,0.0,0.0,0.0,0.0,216.0410526,7.962000000000001,0.0,18535.48
37.0,75.8,3.467,0.0,0.0,0.0,0.0,0.0,216.3758246,7.962000000000001,0.0,17859.3
38.0,79.69,3.355,0.0,0.0,0.0,0.0,0.0,216.71059649999998,7.962000000000001,0.0,18337.68
39.0,69.31,3.285,0.0,0.0,0.0,0.0,0.0,217.0453684,7.8660000000000005,0.0,20797.58
40.0,71.74,3.2739999999999996,0.0,0.0,0.0,0.0,0.0,217.3552733,7.8660000000000005,0.0,23077.55
41.0,63.71,3.353,0.0,0.0,0.0,0.0,0.0,217.5159762,7.8660000000000005,0.0,23351.8
42.0,66.57,3.372,0.0,0.0,0.0,0.0,0.0,217.67667909999997,7.8660000000000005,0.0,31579.9
43.0,54.98,3.332,0.0,0.0,0.0,0.0,0.0,217.837382,7.8660000000000005,0.0,39886.06
44.0,59.11,3.2969999999999997,10382.9,6115.67,215.07,2406.62,6551.42,217.99808489999998,7.8660000000000005,0.0,18689.54
45.0,62.25,3.3080000000000003,6074.12,254.39,51.98,427.39,5988.57,218.2205088,7.8660000000000005,0.0,19050.66
46.0,60.14,3.236,410.31,98.0,55805.51,8.0,554.92,218.4676211,7.8660000000000005,1.0,20911.25
47.0,48.91,3.1719999999999997,5629.51,68.0,1398.11,2084.64,20475.32,218.7147333,7.8660000000000005,0.0,25293.49
48.0,43.93,3.158,4640.65,19.0,105.02,3639.42,14461.82,218.96184559999998,7.8660000000000005,0.0,33305.92
49.0,51.63,3.159,5011.32,67.0,347.37,225.79,4011.37,219.17945330000003,7.8660000000000005,0.0,45773.03
50.0,47.96,3.112,2725.36,40.48,634.7,24.9,2739.43,219.3577216,7.8660000000000005,0.0,46788.75
51.0,44.55,3.1289999999999996,5762.1,46011.38,260.36,983.65,4735.78,219.5359898,7.8660000000000005,1.0,23350.88
